,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,ushuaia,AR,-54.81,-68.31,11.0,57.0,40.0,6.7
1,show low,US,34.25,-110.03,16.0,41.0,1.0,5.1
2,hervey bay,AU,-25.3,152.85,25.07,85.0,0.0,5.02
3,bredasdorp,ZA,-34.53,20.04,20.0,88.0,68.0,4.1
4,rikitea,PF,-23.12,-134.97,22.47,100.0,0.0,5.47
5,kidal,ML,18.44,1.41,15.14,31.0,0.0,1.37
6,puerto ayora,EC,-0.74,-90.35,23.0,73.0,0.0,10.3
7,hithadhoo,MV,-0.6,73.08,27.79,100.0,68.0,5.62
8,busselton,AU,-33.64,115.35,14.17,100.0,0.0,6.37
9,vaini,IN,15.34,74.49,19.79,70.0,8.0,2.37
10,hualmay,PE,-11.1,-77.61,17.24,80.0,36.0,2.52
11,longyearbyen,NO,78.22,15.63,-6.0,67.0,75.0,1.0
12,ponta do sol,BR,-20.63,-46.0,18.64,96.0,12.0,1.57
13,dikson,RU,73.51,80.55,-5.59,100.0,76.0,11.72
14,ballyhaunis,IE,53.76,-8.77,6.99,83.0,88.0,5.87
16,sinaloa,MX,32.55,-115.28,34.0,15.0,5.0,4.1
17,doka,SD,13.52,35.76,24.24,57.0,0.0,3.37
18,port alfred,ZA,-33.59,26.89,19.07,98.0,92.0,1.62
19,glen allen,US,37.67,-77.51,12.0,100.0,90.0,1.5
20,tuktoyaktuk,CA,69.44,-133.03,-4.0,100.0,90.0,4.1
21,cidreira,BR,-30.17,-50.22,20.42,92.0,92.0,4.22
22,hobart,AU,-42.88,147.33,15.0,51.0,75.0,8.2
23,port elizabeth,US,39.31,-74.98,12.0,75.0,90.0,3.6
24,husavik,CA,50.56,-96.99,7.22,96.0,92.0,1.82
25,kaitangata,NZ,-46.28,169.85,13.39,85.0,36.0,2.07
26,punta arenas,CL,-53.16,-70.91,7.0,93.0,90.0,4.1
27,ullapool,GB,57.9,-5.16,6.84,100.0,76.0,11.57
29,aykhal,RU,65.95,111.51,-8.34,90.0,68.0,1.32
31,santa isabel do rio negro,BR,-0.41,-65.02,26.97,89.0,24.0,1.02
32,grand-lahou,CI,5.24,-5.0,24.49,95.0,44.0,2.07
33,deputatskiy,RU,69.3,139.9,-23.31,66.0,48.0,1.27
34,bluff,AU,-23.58,149.07,32.24,26.0,0.0,3.77
35,zurrieq,MT,35.83,14.47,21.0,77.0,20.0,2.6
37,castro,CL,-42.48,-73.76,11.74,98.0,92.0,3.22
38,laguna,MX,27.52,-110.01,32.0,31.0,5.0,5.1
39,san andres,PH,13.32,122.68,28.09,100.0,24.0,7.72
40,sur,OM,22.57,59.53,27.57,94.0,0.0,3.77
41,hermanus,ZA,-34.42,19.24,15.67,92.0,12.0,1.87
42,norway,US,45.79,-87.9,7.0,87.0,90.0,3.1
43,alekseyevskoye,RU,45.2,43.58,5.39,93.0,0.0,5.02
